category,product_service,coinbase,robinhood,binance,kraken,cashapp,notes
TRADING,Spot crypto trading,Y,Y,Y,Y,Y,All offer basic crypto buying/selling
TRADING,Stocks/equities trading,Y,Y,N,N,Y,"Coinbase launched stocks Dec 2025; Robinhood core product; CashApp has stocks"
TRADING,Options trading,N,Y,Y,Y,N,"Robinhood core product; Binance has crypto options; Kraken has some"
TRADING,Futures/derivatives,Y,N,Y,Y,N,"Coinbase acquired Deribit May 2025; Binance largest derivatives exchange; Kraken Futures"
TRADING,Margin trading,Y,Y,Y,Y,N,"Coinbase Advanced has margin; Robinhood Gold includes margin"
TRADING,Advanced trading tools,Y,P,Y,Y,N,"Coinbase Advanced; Binance most comprehensive; Kraken Pro"
TRADING,Prediction markets,Y,Y,N,N,N,"Coinbase partnered with Kalshi Dec 2025; Robinhood also added"
EARN/YIELD,Staking rewards,Y,N,Y,Y,N,"Coinbase Earn; Binance extensive staking; Kraken staking; Robinhood does NOT offer staking"
EARN/YIELD,Savings/interest accounts,Y,Y,Y,Y,Y,"Coinbase USDC rewards 4.1%; Robinhood Gold has cash sweep; Binance Earn; CashApp savings"
EARN/YIELD,Lending/borrowing,P,N,Y,Y,N,"Coinbase launched USDC lending late 2025; Binance full lending; Kraken margin lending"
EARN/YIELD,DeFi yield/liquidity mining,N,N,Y,N,N,"Binance DeFi staking and Launchpool; others don't offer directly"
PAYMENTS,Crypto debit/credit card,Y,N,Y,N,Y,"Coinbase Card (Visa); Binance Card; CashApp Cash Card; Robinhood has credit card but not crypto-specific"
PAYMENTS,Direct deposit/payroll,N,Y,N,N,Y,"Robinhood and CashApp both offer direct deposit; Coinbase does not"
PAYMENTS,Peer-to-peer transfers,P,N,N,N,Y,"CashApp core product; Coinbase can send crypto P2P but no fiat P2P"
PAYMENTS,Merchant payment processing,Y,N,Y,N,Y,"Coinbase Commerce / Coinbase Payments; Binance Pay; CashApp for Business"
PAYMENTS,Stablecoin payments infrastructure,Y,N,N,N,N,"Coinbase Payments stack (USDC) is unique; Shopify integration"
INSTITUTIONAL,Institutional custody,Y,N,Y,Y,N,"Coinbase Custody (qualified custodian); Binance Institutional; Kraken Custody"
INSTITUTIONAL,Institutional trading (prime),Y,N,Y,Y,N,"Coinbase Prime; Binance Institutional; Kraken direct"
INSTITUTIONAL,Crypto-as-a-Service (white label),Y,N,Y,N,N,"Coinbase CaaS launched 2025; Binance Cloud"
DEVELOPER/INFRA,Own blockchain/L2 network,Y,N,Y,N,N,"Coinbase has Base (L2); Binance has BNB Chain"
DEVELOPER/INFRA,Developer APIs/tools,Y,N,Y,Y,N,"Coinbase Developer Platform; Binance API; Kraken API"
DEVELOPER/INFRA,NFT marketplace,P,N,N,Y,N,"Coinbase NFT essentially shut down; Kraken has NFT marketplace"
DEVELOPER/INFRA,Wallet (self-custody),Y,Y,Y,Y,N,"Coinbase Wallet; Robinhood Wallet; Binance Web3 Wallet; Kraken Wallet"
EDUCATION,Learn-to-earn (crypto rewards),Y,N,Y,N,N,"Coinbase Earn pays users to learn; Binance Academy has rewards"
EDUCATION,News/market research,Y,Y,Y,Y,N,"All major platforms have research/news feeds"
FINANCIAL_SERVICES,Banking/checking account,N,Y,N,N,Y,"Robinhood cash management; CashApp banking; Coinbase does NOT"
FINANCIAL_SERVICES,Cash management,N,Y,N,N,Y,"Robinhood Gold cash sweep 4%+; CashApp savings"
FINANCIAL_SERVICES,Subscription tier (premium),Y,Y,N,N,N,"Coinbase One; Robinhood Gold; Binance VIP is volume-based not subscription"
FINANCIAL_SERVICES,Native token/rewards token,N,N,Y,N,N,"BNB gives fee discounts on Binance; Coinbase and Robinhood have no native token"
FINANCIAL_SERVICES,Stock/ETF index products,Y,N,N,N,N,"Coinbase launched Mag7+Crypto Index Futures in 2025"
FINANCIAL_SERVICES,Custom stablecoins,Y,N,N,N,N,"Coinbase Custom Stablecoins launched Dec 2025 - unique offering"
